"step","funnel_step","platform","age_range","year_month","funnel_count","total_count_for_stage"
"3","Ride Requests","android","45-54","2021-03","568","385477"
"3","Ride Requests","android","45-54","2021-04","695","385477"
"3","Ride Requests","android","45-54","2021-05","862","385477"
"3","Ride Requests","android","45-54","2021-06","828","385477"
"3","Ride Requests","android","45-54","2021-07","954","385477"
"3","Ride Requests","android","45-54","2021-08","1032","385477"
"3","Ride Requests","android","45-54","2021-09","1007","385477"
"3","Ride Requests","android","45-54","2021-10","1059","385477"
"3","Ride Requests","android","45-54","2021-11","1132","385477"
"3","Ride Requests","android","45-54","2021-12","1207","385477"
"3","Ride Requests","android","45-54","2022-01","1099","385477"
"3","Ride Requests","android","45-54","2022-02","448","385477"
"3","Ride Requests","android","45-54","2022-03","100","385477"
"3","Ride Requests","android","45-54","2022-04","3","385477"
"3","Ride Requests","android","Unknown","2021-01","286","385477"
"3","Ride Requests","android","Unknown","2021-02","832","385477"
"3","Ride Requests","android","Unknown","2021-03","1347","385477"
"3","Ride Requests","android","Unknown","2021-04","1648","385477"
"3","Ride Requests","android","Unknown","2021-05","1955","385477"
"3","Ride Requests","android","Unknown","2021-06","2356","385477"
"3","Ride Requests","android","Unknown","2021-07","2605","385477"
"3","Ride Requests","android","Unknown","2021-08","3009","385477"
"3","Ride Requests","android","Unknown","2021-09","2960","385477"
"3","Ride Requests","android","Unknown","2021-10","3526","385477"
"3","Ride Requests","android","Unknown","2021-11","4000","385477"
"3","Ride Requests","android","Unknown","2021-12","4253","385477"
"3","Ride Requests","android","Unknown","2022-01","3335","385477"
"3","Ride Requests","android","Unknown","2022-02","1498","385477"
"3","Ride Requests","android","Unknown","2022-03","321","385477"
"3","Ride Requests","android","Unknown","2022-04","20","385477"
"3","Ride Requests","ios","18-24","2021-01","264","385477"
"3","Ride Requests","ios","18-24","2021-02","599","385477"
"3","Ride Requests","ios","18-24","2021-03","907","385477"
"3","Ride Requests","ios","18-24","2021-04","1089","385477"
"3","Ride Requests","ios","18-24","2021-05","1396","385477"
"3","Ride Requests","ios","18-24","2021-06","1629","385477"
"3","Ride Requests","ios","18-24","2021-07","1983","385477"
"3","Ride Requests","ios","18-24","2021-08","2141","385477"
"3","Ride Requests","ios","18-24","2021-09","2124","385477"
"3","Ride Requests","ios","18-24","2021-10","2562","385477"
"3","Ride Requests","ios","18-24","2021-11","2748","385477"
"3","Ride Requests","ios","18-24","2021-12","3016","385477"
"3","Ride Requests","ios","18-24","2022-01","2545","385477"
"3","Ride Requests","ios","18-24","2022-02","1078","385477"
"3","Ride Requests","ios","18-24","2022-03","225","385477"
"3","Ride Requests","ios","25-34","2021-01","367","385477"
"3","Ride Requests","ios","25-34","2021-02","1223","385477"
"3","Ride Requests","ios","25-34","2021-03","1894","385477"
"3","Ride Requests","ios","25-34","2021-04","2087","385477"
"3","Ride Requests","ios","25-34","2021-05","2764","385477"
"3","Ride Requests","ios","25-34","2021-06","3380","385477"
"3","Ride Requests","ios","25-34","2021-07","4239","385477"
"3","Ride Requests","ios","25-34","2021-08","4289","385477"
"3","Ride Requests","ios","25-34","2021-09","4349","385477"
"3","Ride Requests","ios","25-34","2021-10","4773","385477"
"3","Ride Requests","ios","25-34","2021-11","5097","385477"
"3","Ride Requests","ios","25-34","2021-12","5837","385477"
"3","Ride Requests","ios","25-34","2022-01","4324","385477"
"3","Ride Requests","ios","25-34","2022-02","1599","385477"
"3","Ride Requests","ios","25-34","2022-03","300","385477"
"3","Ride Requests","ios","25-34","2022-04","1","385477"
"3","Ride Requests","ios","35-44","2021-01","667","385477"
"3","Ride Requests","ios","35-44","2021-02","1740","385477"
"3","Ride Requests","ios","35-44","2021-03","2555","385477"
"3","Ride Requests","ios","35-44","2021-04","3156","385477"
"3","Ride Requests","ios","35-44","2021-05","3919","385477"
"3","Ride Requests","ios","35-44","2021-06","4741","385477"
"3","Ride Requests","ios","35-44","2021-07","5579","385477"
"3","Ride Requests","ios","35-44","2021-08","6102","385477"
"3","Ride Requests","ios","35-44","2021-09","6541","385477"
"3","Ride Requests","ios","35-44","2021-10","7093","385477"
"3","Ride Requests","ios","35-44","2021-11","7537","385477"
"3","Ride Requests","ios","35-44","2021-12","8571","385477"
"3","Ride Requests","ios","35-44","2022-01","7030","385477"
"3","Ride Requests","ios","35-44","2022-02","2787","385477"
"3","Ride Requests","ios","35-44","2022-03","535","385477"
"3","Ride Requests","ios","35-44","2022-04","4","385477"
"3","Ride Requests","ios","45-54","2021-01","239","385477"
"3","Ride Requests","ios","45-54","2021-02","661","385477"
"3","Ride Requests","ios","45-54","2021-03","1054","385477"
"3","Ride Requests","ios","45-54","2021-04","1240","385477"
"3","Ride Requests","ios","45-54","2021-05","1277","385477"
"3","Ride Requests","ios","45-54","2021-06","1508","385477"
"3","Ride Requests","ios","45-54","2021-07","1837","385477"
"3","Ride Requests","ios","45-54","2021-08","2067","385477"
"3","Ride Requests","ios","45-54","2021-09","2094","385477"
"3","Ride Requests","ios","45-54","2021-10","2524","385477"
"3","Ride Requests","ios","45-54","2021-11","2894","385477"
"3","Ride Requests","ios","45-54","2021-12","3346","385477"
"3","Ride Requests","ios","45-54","2022-01","2510","385477"
"3","Ride Requests","ios","45-54","2022-02","980","385477"
"3","Ride Requests","ios","45-54","2022-03","161","385477"
"3","Ride Requests","ios","Unknown","2021-01","524","385477"
"3","Ride Requests","ios","Unknown","2021-02","1790","385477"
"3","Ride Requests","ios","Unknown","2021-03","2916","385477"
"3","Ride Requests","ios","Unknown","2021-04","3182","385477"
"3","Ride Requests","ios","Unknown","2021-05","3830","385477"
"3","Ride Requests","ios","Unknown","2021-06","4617","385477"
"3","Ride Requests","ios","Unknown","2021-07","5700","385477"
"3","Ride Requests","ios","Unknown","2021-08","6243","385477"
"3","Ride Requests","ios","Unknown","2021-09","7090","385477"
"3","Ride Requests","ios","Unknown","2021-10","8231","385477"
"3","Ride Requests","ios","Unknown","2021-11","8171","385477"
"3","Ride Requests","ios","Unknown","2021-12","8465","385477"
"3","Ride Requests","ios","Unknown","2022-01","7006","385477"
"3","Ride Requests","ios","Unknown","2022-02","2702","385477"
"3","Ride Requests","ios","Unknown","2022-03","441","385477"
"3","Ride Requests","ios","Unknown","2022-04","7","385477"
"3","Ride Requests","web","18-24","2021-01","24","385477"
"3","Ride Requests","web","18-24","2021-02","97","385477"
"3","Ride Requests","web","18-24","2021-03","218","385477"
"3","Ride Requests","web","18-24","2021-04","250","385477"
"3","Ride Requests","web","18-24","2021-05","298","385477"
"3","Ride Requests","web","18-24","2021-06","380","385477"
"3","Ride Requests","web","18-24","2021-07","446","385477"
"3","Ride Requests","web","18-24","2021-08","387","385477"
"3","Ride Requests","web","18-24","2021-09","408","385477"
"3","Ride Requests","web","18-24","2021-10","440","385477"
"3","Ride Requests","web","18-24","2021-11","407","385477"
"3","Ride Requests","web","18-24","2021-12","484","385477"
"3","Ride Requests","web","18-24","2022-01","390","385477"
"3","Ride Requests","web","18-24","2022-02","138","385477"
"3","Ride Requests","web","18-24","2022-03","32","385477"
"3","Ride Requests","web","25-34","2021-01","62","385477"
"3","Ride Requests","web","25-34","2021-02","202","385477"
"3","Ride Requests","web","25-34","2021-03","305","385477"
"3","Ride Requests","web","25-34","2021-04","321","385477"
"3","Ride Requests","web","25-34","2021-05","487","385477"
"3","Ride Requests","web","25-34","2021-06","516","385477"
"3","Ride Requests","web","25-34","2021-07","553","385477"
"3","Ride Requests","web","25-34","2021-08","646","385477"
"3","Ride Requests","web","25-34","2021-09","691","385477"
"3","Ride Requests","web","25-34","2021-10","749","385477"
"3","Ride Requests","web","25-34","2021-11","800","385477"
"3","Ride Requests","web","25-34","2021-12","801","385477"
"3","Ride Requests","web","25-34","2022-01","674","385477"
"3","Ride Requests","web","25-34","2022-02","284","385477"
"3","Ride Requests","web","25-34","2022-03","66","385477"
"3","Ride Requests","web","35-44","2021-01","71","385477"
"3","Ride Requests","web","35-44","2021-02","249","385477"
"3","Ride Requests","web","35-44","2021-03","441","385477"
"3","Ride Requests","web","35-44","2021-04","555","385477"
"3","Ride Requests","web","35-44","2021-05","711","385477"
"3","Ride Requests","web","35-44","2021-06","780","385477"
"3","Ride Requests","web","35-44","2021-07","899","385477"
"3","Ride Requests","web","35-44","2021-08","916","385477"
"3","Ride Requests","web","35-44","2021-09","1188","385477"
"3","Ride Requests","web","35-44","2021-10","1503","385477"
"3","Ride Requests","web","35-44","2021-11","1624","385477"
"3","Ride Requests","web","35-44","2021-12","1659","385477"
"3","Ride Requests","web","35-44","2022-01","1146","385477"
"3","Ride Requests","web","35-44","2022-02","454","385477"
"3","Ride Requests","web","35-44","2022-03","36","385477"
"3","Ride Requests","web","45-54","2021-01","13","385477"
"3","Ride Requests","web","45-54","2021-02","78","385477"
"3","Ride Requests","web","45-54","2021-03","147","385477"
"3","Ride Requests","web","45-54","2021-04","226","385477"
"3","Ride Requests","web","45-54","2021-05","343","385477"
"3","Ride Requests","web","45-54","2021-06","350","385477"
"3","Ride Requests","web","45-54","2021-07","338","385477"
"3","Ride Requests","web","45-54","2021-08","341","385477"
"3","Ride Requests","web","45-54","2021-09","384","385477"
"3","Ride Requests","web","45-54","2021-10","360","385477"
"3","Ride Requests","web","45-54","2021-11","369","385477"
"3","Ride Requests","web","45-54","2021-12","398","385477"
"3","Ride Requests","web","45-54","2022-01","312","385477"
"3","Ride Requests","web","45-54","2022-02","127","385477"
"3","Ride Requests","web","45-54","2022-03","30","385477"
"3","Ride Requests","web","Unknown","2021-01","87","385477"
"3","Ride Requests","web","Unknown","2021-02","269","385477"
"3","Ride Requests","web","Unknown","2021-03","411","385477"
"3","Ride Requests","web","Unknown","2021-04","429","385477"
"3","Ride Requests","web","Unknown","2021-05","454","385477"
"3","Ride Requests","web","Unknown","2021-06","738","385477"
"3","Ride Requests","web","Unknown","2021-07","1090","385477"
"3","Ride Requests","web","Unknown","2021-08","1158","385477"
"3","Ride Requests","web","Unknown","2021-09","1053","385477"
"3","Ride Requests","web","Unknown","2021-10","1312","385477"
"3","Ride Requests","web","Unknown","2021-11","1354","385477"
"3","Ride Requests","web","Unknown","2021-12","1215","385477"
"3","Ride Requests","web","Unknown","2022-01","875","385477"
"3","Ride Requests","web","Unknown","2022-02","344","385477"
"3","Ride Requests","web","Unknown","2022-03","74","385477"
"4","Rides Accepted","android","18-24","2021-01","33","248379"
"4","Rides Accepted","android","18-24","2021-02","101","248379"
"4","Rides Accepted","android","18-24","2021-03","179","248379"
"4","Rides Accepted","android","18-24","2021-04","203","248379"
"4","Rides Accepted","android","18-24","2021-05","338","248379"
"4","Rides Accepted","android","18-24","2021-06","425","248379"
"4","Rides Accepted","android","18-24","2021-07","620","248379"
"4","Rides Accepted","android","18-24","2021-08","772","248379"
"4","Rides Accepted","android","18-24","2021-09","780","248379"
"4","Rides Accepted","android","18-24","2021-10","861","248379"
"4","Rides Accepted","android","18-24","2021-11","910","248379"
"4","Rides Accepted","android","18-24","2021-12","1006","248379"
"4","Rides Accepted","android","18-24","2022-01","896","248379"
"4","Rides Accepted","android","18-24","2022-02","388","248379"
"4","Rides Accepted","android","18-24","2022-03","72","248379"
"4","Rides Accepted","android","25-34","2021-01","23","248379"
"4","Rides Accepted","android","25-34","2021-02","135","248379"
"4","Rides Accepted","android","25-34","2021-03","249","248379"
"4","Rides Accepted","android","25-34","2021-04","347","248379"
"4","Rides Accepted","android","25-34","2021-05","605","248379"
"4","Rides Accepted","android","25-34","2021-06","830","248379"
"4","Rides Accepted","android","25-34","2021-07","1104","248379"
"4","Rides Accepted","android","25-34","2021-08","1400","248379"
"4","Rides Accepted","android","25-34","2021-09","1416","248379"
"4","Rides Accepted","android","25-34","2021-10","1624","248379"
"4","Rides Accepted","android","25-34","2021-11","1746","248379"
"4","Rides Accepted","android","25-34","2021-12","2036","248379"
"4","Rides Accepted","android","25-34","2022-01","1738","248379"
"4","Rides Accepted","android","25-34","2022-02","752","248379"
"4","Rides Accepted","android","25-34","2022-03","152","248379"
"4","Rides Accepted","android","35-44","2021-01","60","248379"
"4","Rides Accepted","android","35-44","2021-02","235","248379"
"4","Rides Accepted","android","35-44","2021-03","534","248379"
"4","Rides Accepted","android","35-44","2021-04","704","248379"
"4","Rides Accepted","android","35-44","2021-05","945","248379"
"4","Rides Accepted","android","35-44","2021-06","1092","248379"
"4","Rides Accepted","android","35-44","2021-07","1512","248379"
"4","Rides Accepted","android","35-44","2021-08","1881","248379"
"4","Rides Accepted","android","35-44","2021-09","2223","248379"
"4","Rides Accepted","android","35-44","2021-10","2558","248379"
"4","Rides Accepted","android","35-44","2021-11","2671","248379"
"4","Rides Accepted","android","35-44","2021-12","3096","248379"
"4","Rides Accepted","android","35-44","2022-01","2668","248379"
"4","Rides Accepted","android","35-44","2022-02","1223","248379"
"4","Rides Accepted","android","35-44","2022-03","279","248379"
"4","Rides Accepted","android","35-44","2022-04","1","248379"
"4","Rides Accepted","android","45-54","2021-01","22","248379"
"4","Rides Accepted","android","45-54","2021-02","95","248379"
"4","Rides Accepted","android","45-54","2021-03","207","248379"
"4","Rides Accepted","android","45-54","2021-04","348","248379"
"4","Rides Accepted","android","45-54","2021-05","494","248379"
"4","Rides Accepted","android","45-54","2021-06","523","248379"
"4","Rides Accepted","android","45-54","2021-07","592","248379"
"4","Rides Accepted","android","45-54","2021-08","627","248379"
"4","Rides Accepted","android","45-54","2021-09","668","248379"
"4","Rides Accepted","android","45-54","2021-10","700","248379"
"4","Rides Accepted","android","45-54","2021-11","770","248379"
"4","Rides Accepted","android","45-54","2021-12","890","248379"
"4","Rides Accepted","android","45-54","2022-01","820","248379"
"4","Rides Accepted","android","45-54","2022-02","356","248379"
"4","Rides Accepted","android","45-54","2022-03","91","248379"
"4","Rides Accepted","android","45-54","2022-04","3","248379"
"4","Rides Accepted","android","Unknown","2021-01","47","248379"
"4","Rides Accepted","android","Unknown","2021-02","243","248379"
"4","Rides Accepted","android","Unknown","2021-03","448","248379"
"4","Rides Accepted","android","Unknown","2021-04","721","248379"
"4","Rides Accepted","android","Unknown","2021-05","994","248379"
"4","Rides Accepted","android","Unknown","2021-06","1307","248379"
"4","Rides Accepted","android","Unknown","2021-07","1538","248379"
"4","Rides Accepted","android","Unknown","2021-08","1848","248379"
"4","Rides Accepted","android","Unknown","2021-09","1888","248379"
"4","Rides Accepted","android","Unknown","2021-10","2545","248379"
"4","Rides Accepted","android","Unknown","2021-11","2905","248379"
"4","Rides Accepted","android","Unknown","2021-12","3261","248379"
"4","Rides Accepted","android","Unknown","2022-01","2658","248379"
"4","Rides Accepted","android","Unknown","2022-02","1269","248379"
"4","Rides Accepted","android","Unknown","2022-03","311","248379"
"4","Rides Accepted","android","Unknown","2022-04","20","248379"
"4","Rides Accepted","ios","18-24","2021-01","57","248379"
"4","Rides Accepted","ios","18-24","2021-02","156","248379"
"4","Rides Accepted","ios","18-24","2021-03","310","248379"
"4","Rides Accepted","ios","18-24","2021-04","488","248379"
"4","Rides Accepted","ios","18-24","2021-05","784","248379"
"4","Rides Accepted","ios","18-24","2021-06","954","248379"
"4","Rides Accepted","ios","18-24","2021-07","1231","248379"
"4","Rides Accepted","ios","18-24","2021-08","1381","248379"
"4","Rides Accepted","ios","18-24","2021-09","1507","248379"
"4","Rides Accepted","ios","18-24","2021-10","1865","248379"
"4","Rides Accepted","ios","18-24","2021-11","2009","248379"
"4","Rides Accepted","ios","18-24","2021-12","2314","248379"
"4","Rides Accepted","ios","18-24","2022-01","1984","248379"
"4","Rides Accepted","ios","18-24","2022-02","925","248379"
"4","Rides Accepted","ios","18-24","2022-03","209","248379"
"4","Rides Accepted","ios","25-34","2021-01","66","248379"
"4","Rides Accepted","ios","25-34","2021-02","327","248379"
"4","Rides Accepted","ios","25-34","2021-03","644","248379"
"4","Rides Accepted","ios","25-34","2021-04","924","248379"
"4","Rides Accepted","ios","25-34","2021-05","1503","248379"
"4","Rides Accepted","ios","25-34","2021-06","2053","248379"
"4","Rides Accepted","ios","25-34","2021-07","2639","248379"
"4","Rides Accepted","ios","25-34","2021-08","2727","248379"
"4","Rides Accepted","ios","25-34","2021-09","2942","248379"
"4","Rides Accepted","ios","25-34","2021-10","3523","248379"
"4","Rides Accepted","ios","25-34","2021-11","3771","248379"
"4","Rides Accepted","ios","25-34","2021-12","4242","248379"
"4","Rides Accepted","ios","25-34","2022-01","3284","248379"
"4","Rides Accepted","ios","25-34","2022-02","1407","248379"
"4","Rides Accepted","ios","25-34","2022-03","299","248379"
"4","Rides Accepted","ios","25-34","2022-04","1","248379"
"4","Rides Accepted","ios","35-44","2021-01","130","248379"
"4","Rides Accepted","ios","35-44","2021-02","444","248379"
"4","Rides Accepted","ios","35-44","2021-03","952","248379"
"4","Rides Accepted","ios","35-44","2021-04","1431","248379"
"4","Rides Accepted","ios","35-44","2021-05","2079","248379"
"4","Rides Accepted","ios","35-44","2021-06","2809","248379"
"4","Rides Accepted","ios","35-44","2021-07","3427","248379"
"4","Rides Accepted","ios","35-44","2021-08","3916","248379"
"4","Rides Accepted","ios","35-44","2021-09","4276","248379"
"4","Rides Accepted","ios","35-44","2021-10","5071","248379"
"4","Rides Accepted","ios","35-44","2021-11","5397","248379"
"4","Rides Accepted","ios","35-44","2021-12","6287","248379"
"4","Rides Accepted","ios","35-44","2022-01","5308","248379"
"4","Rides Accepted","ios","35-44","2022-02","2334","248379"
"4","Rides Accepted","ios","35-44","2022-03","522","248379"
"4","Rides Accepted","ios","35-44","2022-04","4","248379"
"4","Rides Accepted","ios","45-54","2021-01","38","248379"
"4","Rides Accepted","ios","45-54","2021-02","150","248379"
"4","Rides Accepted","ios","45-54","2021-03","400","248379"
"4","Rides Accepted","ios","45-54","2021-04","561","248379"
"4","Rides Accepted","ios","45-54","2021-05","621","248379"
"4","Rides Accepted","ios","45-54","2021-06","834","248379"
"4","Rides Accepted","ios","45-54","2021-07","1156","248379"
"4","Rides Accepted","ios","45-54","2021-08","1293","248379"
"4","Rides Accepted","ios","45-54","2021-09","1318","248379"
"4","Rides Accepted","ios","45-54","2021-10","1725","248379"
"4","Rides Accepted","ios","45-54","2021-11","2104","248379"
"4","Rides Accepted","ios","45-54","2021-12","2526","248379"
"4","Rides Accepted","ios","45-54","2022-01","2006","248379"
"4","Rides Accepted","ios","45-54","2022-02","863","248379"
"4","Rides Accepted","ios","45-54","2022-03","161","248379"
"4","Rides Accepted","ios","Unknown","2021-01","82","248379"
"4","Rides Accepted","ios","Unknown","2021-02","432","248379"
"4","Rides Accepted","ios","Unknown","2021-03","1020","248379"
"4","Rides Accepted","ios","Unknown","2021-04","1335","248379"
"4","Rides Accepted","ios","Unknown","2021-05","1781","248379"
"4","Rides Accepted","ios","Unknown","2021-06","2456","248379"
"4","Rides Accepted","ios","Unknown","2021-07","3366","248379"
"4","Rides Accepted","ios","Unknown","2021-08","4022","248379"
"4","Rides Accepted","ios","Unknown","2021-09","4770","248379"
"4","Rides Accepted","ios","Unknown","2021-10","5644","248379"
"4","Rides Accepted","ios","Unknown","2021-11","5644","248379"
"4","Rides Accepted","ios","Unknown","2021-12","6071","248379"
"4","Rides Accepted","ios","Unknown","2022-01","5197","248379"
"4","Rides Accepted","ios","Unknown","2022-02","2251","248379"
"4","Rides Accepted","ios","Unknown","2022-03","420","248379"
"4","Rides Accepted","ios","Unknown","2022-04","7","248379"
"4","Rides Accepted","web","18-24","2021-01","7","248379"
"4","Rides Accepted","web","18-24","2021-02","11","248379"
"4","Rides Accepted","web","18-24","2021-03","70","248379"
"4","Rides Accepted","web","18-24","2021-04","131","248379"
"4","Rides Accepted","web","18-24","2021-05","208","248379"
"4","Rides Accepted","web","18-24","2021-06","227","248379"
"4","Rides Accepted","web","18-24","2021-07","266","248379"
"4","Rides Accepted","web","18-24","2021-08","235","248379"
"4","Rides Accepted","web","18-24","2021-09","253","248379"
"4","Rides Accepted","web","18-24","2021-10","295","248379"
"4","Rides Accepted","web","18-24","2021-11","284","248379"
"4","Rides Accepted","web","18-24","2021-12","388","248379"
"4","Rides Accepted","web","18-24","2022-01","315","248379"
"4","Rides Accepted","web","18-24","2022-02","127","248379"
"4","Rides Accepted","web","18-24","2022-03","32","248379"
"4","Rides Accepted","web","25-34","2021-01","22","248379"
"4","Rides Accepted","web","25-34","2021-02","67","248379"
"4","Rides Accepted","web","25-34","2021-03","90","248379"
"4","Rides Accepted","web","25-34","2021-04","136","248379"
"4","Rides Accepted","web","25-34","2021-05","233","248379"
"4","Rides Accepted","web","25-34","2021-06","302","248379"
"4","Rides Accepted","web","25-34","2021-07","316","248379"
"4","Rides Accepted","web","25-34","2021-08","389","248379"
"4","Rides Accepted","web","25-34","2021-09","470","248379"
"4","Rides Accepted","web","25-34","2021-10","492","248379"
"4","Rides Accepted","web","25-34","2021-11","506","248379"
"4","Rides Accepted","web","25-34","2021-12","556","248379"
"4","Rides Accepted","web","25-34","2022-01","484","248379"
"4","Rides Accepted","web","25-34","2022-02","241","248379"
"4","Rides Accepted","web","25-34","2022-03","66","248379"
"4","Rides Accepted","web","35-44","2021-01","19","248379"
"4","Rides Accepted","web","35-44","2021-02","72","248379"
"4","Rides Accepted","web","35-44","2021-03","176","248379"
"4","Rides Accepted","web","35-44","2021-04","231","248379"
"4","Rides Accepted","web","35-44","2021-05","301","248379"
"4","Rides Accepted","web","35-44","2021-06","418","248379"
"4","Rides Accepted","web","35-44","2021-07","573","248379"
"4","Rides Accepted","web","35-44","2021-08","672","248379"
"4","Rides Accepted","web","35-44","2021-09","820","248379"
"4","Rides Accepted","web","35-44","2021-10","1061","248379"
"4","Rides Accepted","web","35-44","2021-11","1149","248379"
"4","Rides Accepted","web","35-44","2021-12","1199","248379"
"4","Rides Accepted","web","35-44","2022-01","935","248379"
"4","Rides Accepted","web","35-44","2022-02","399","248379"
"4","Rides Accepted","web","35-44","2022-03","36","248379"
"4","Rides Accepted","web","45-54","2021-02","20","248379"
"4","Rides Accepted","web","45-54","2021-03","52","248379"
"4","Rides Accepted","web","45-54","2021-04","120","248379"
"4","Rides Accepted","web","45-54","2021-05","185","248379"
"4","Rides Accepted","web","45-54","2021-06","199","248379"
"4","Rides Accepted","web","45-54","2021-07","197","248379"
"4","Rides Accepted","web","45-54","2021-08","203","248379"
"4","Rides Accepted","web","45-54","2021-09","242","248379"
"4","Rides Accepted","web","45-54","2021-10","240","248379"
"4","Rides Accepted","web","45-54","2021-11","239","248379"
"4","Rides Accepted","web","45-54","2021-12","245","248379"
"4","Rides Accepted","web","45-54","2022-01","206","248379"
"4","Rides Accepted","web","45-54","2022-02","96","248379"
"4","Rides Accepted","web","45-54","2022-03","30","248379"
"4","Rides Accepted","web","Unknown","2021-01","20","248379"
"4","Rides Accepted","web","Unknown","2021-02","75","248379"
"4","Rides Accepted","web","Unknown","2021-03","138","248379"
"4","Rides Accepted","web","Unknown","2021-04","147","248379"
"4","Rides Accepted","web","Unknown","2021-05","216","248379"
"4","Rides Accepted","web","Unknown","2021-06","489","248379"
"4","Rides Accepted","web","Unknown","2021-07","739","248379"
"4","Rides Accepted","web","Unknown","2021-08","763","248379"
"4","Rides Accepted","web","Unknown","2021-09","689","248379"
"4","Rides Accepted","web","Unknown","2021-10","873","248379"
"4","Rides Accepted","web","Unknown","2021-11","941","248379"
"4","Rides Accepted","web","Unknown","2021-12","903","248379"
"4","Rides Accepted","web","Unknown","2022-01","669","248379"
"4","Rides Accepted","web","Unknown","2022-02","296","248379"
"4","Rides Accepted","web","Unknown","2022-03","68","248379"
"5","Pickups","android","18-24","2021-01","16","223652"
"5","Pickups","android","18-24","2021-02","48","223652"
"5","Pickups","android","18-24","2021-03","124","223652"
"5","Pickups","android","18-24","2021-04","160","223652"
"5","Pickups","android","18-24","2021-05","288","223652"
"5","Pickups","android","18-24","2021-06","367","223652"
"5","Pickups","android","18-24","2021-07","554","223652"
"5","Pickups","android","18-24","2021-08","711","223652"
"5","Pickups","android","18-24","2021-09","717","223652"
"5","Pickups","android","18-24","2021-10","787","223652"
"5","Pickups","android","18-24","2021-11","834","223652"
"5","Pickups","android","18-24","2021-12","931","223652"
"5","Pickups","android","18-24","2022-01","812","223652"
"5","Pickups","android","18-24","2022-02","369","223652"
"5","Pickups","android","18-24","2022-03","72","223652"
"5","Pickups","android","25-34","2021-02","64","223652"
"5","Pickups","android","25-34","2021-03","142","223652"
"5","Pickups","android","25-34","2021-04","253","223652"
"5","Pickups","android","25-34","2021-05","502","223652"
"5","Pickups","android","25-34","2021-06","703","223652"
"5","Pickups","android","25-34","2021-07","983","223652"
"5","Pickups","android","25-34","2021-08","1308","223652"
"5","Pickups","android","25-34","2021-09","1298","223652"
"5","Pickups","android","25-34","2021-10","1511","223652"
"5","Pickups","android","25-34","2021-11","1613","223652"
"5","Pickups","android","25-34","2021-12","1889","223652"
"5","Pickups","android","25-34","2022-01","1648","223652"
"5","Pickups","android","25-34","2022-02","741","223652"
"5","Pickups","android","25-34","2022-03","152","223652"
"5","Pickups","android","35-44","2021-01","6","223652"
"5","Pickups","android","35-44","2021-02","96","223652"
"5","Pickups","android","35-44","2021-03","361","223652"
